Criar,País natal,Color de piel,Altura (pulg.),Color de ojos,Longevidad (años),Rasgos de carácter,Problemas de salud comunes
Perro Labrador Retriever,Canadá,"Amarillo, Negro, Chocolate",21-24,Marrón,10-12,"Leal, amigable, inteligente, enérgico, de buen carácter.","Displasia de cadera, obesidad, infecciones de oído."
pastor alemán,Alemania,"Negro, tostado",22-26,Marrón,7-10,"Leal, inteligente, protector, confiado, entrenable.","Displasia de cadera, displasia de codo, pancreatitis."
Buldog,Inglaterra,"Blanco, Rojo",12-16,Marrón,8-10,"Leal, tranquilo, gentil, valiente.","Alergias en la piel, problemas respiratorios, obesidad."
Caniche,Francia,"Blanco, Negro, Marrón, Albaricoque",10-15,"Marrón, Azul",12-15,"Inteligente, activa, cariñosa, hipoalergénica.","Displasia de cadera, epilepsia, cálculos en la vejiga."
Beagle,Inglaterra,"Blanco, tostado, rojo, limón",13-15,Marrón,12-15,"Curioso, amigable, enérgico, de buen carácter.","Infecciones de oído, displasia de cadera, epilepsia."
Chihuahua,México,"Negro, Marrón, Bronceado, Blanco",6-9,"Marrón, Azul",12-20,"Leal, enérgico, confiado, sensible.","Problemas dentales, problemas oculares, problemas respiratorios."
Bóxer,Alemania,"Leonado, atigrado",21-25,Marrón,10-12,"Leal, enérgica, inteligente, juguetona, protectora.","Displasia de cadera, cáncer, enfermedades cardíacas."
perro perdiguero de oro,Escocia,Dorado,21-24,Marrón,10-12,"Inteligente, amigable, amable, leal, de buen carácter.","Displasia de cadera, cáncer, alergias cutáneas."
Doguillo,Porcelana,"Cervatillo, Negro",10-14,Marrón,12-15,"Leal, juguetona, cariñosa, social, encantadora.","Problemas oculares, problemas respiratorios, obesidad."
rottweiler,Alemania,"Negro, tostado",22-27,Marrón,8-10,"Leal, protector, confiado, fuerte.","Displasia de cadera, cáncer, displasia de codo."
husky siberiano,Rusia,"Negro, Blanco",21-24,Azul,12-15,"Independiente, enérgico, inteligente, juguetón, fuerte.","Displasia de cadera, problemas oculares, miopatía hereditaria."
Perro tejonero,Alemania,"Negro, tostado",5-9,"Marrón, Azul",12-15,"Leal, enérgico, juguetón, curioso.","Enfermedad del disco intervertebral, displasia de cadera, diabetes."
shih tzu,Porcelana,"Negro, Blanco, Marrón",9-10,Marrón,10-16,"Cariñoso, juguetón, confiado, de buen carácter.","Problemas dentales, problemas respiratorios, problemas oculares."
Bichón Frisé,Francia,Blanco,9-11,Marrón,12-15,"Juguetona, cariñosa, inteligente, social.","Problemas dentales, problemas oculares, cálculos en la vejiga."
pastor australiano,Australia,"Negro, Rojo",18-23,"Marrón, Azul",12-15,"Inteligente, enérgico, leal, entrenable.","Displasia de cadera, problemas oculares, epilepsia."
perro de afloramiento,Francia,"Negro, tostado",11-15,Marrón,10-12,"Cariñoso, paciente, gentil, de buen carácter.","Problemas dentales, infecciones de oído, obesidad."
perro de aguas,Inglaterra,"Negro, Marrón",14-15,Marrón,12-15,"Cariñosa, inteligente, enérgica, bondadosa.","Infecciones de oído, displasia de cadera, problemas oculares."
bulldog francés,Francia,"Blanco, negro, atigrado",11-12,Marrón,10-12,"Cariñosa, juguetona, de buen carácter.","Problemas respiratorios, problemas oculares, displasia de cadera."
pomeranio,Alemania,"Naranja, Sable, Negro",6-7,Marrón,12-16,"Juguetón, enérgico, inteligente, de buen carácter.","Problemas dentales, problemas oculares, obesidad."
perro danés,Alemania,"Negro, Azul, Cervatillo, Arlequín",28-34,Marrón,8-10,"Gentil, leal, inteligente, bondadoso.","Displasia de cadera, cáncer, enfermedades cardíacas."
Mastín,Inglaterra,"albaricoque, cervatillo",30-34,Marrón,8-10,"Leal, gentil, protectora, bondadosa.","Displasia de cadera, enfermedades cardíacas, cáncer."
Terranova,Canadá,"Negro, Marrón, Gris",26-28,Marrón,9-11,"Leal, inteligente, gentil, bondadoso.","Displasia de cadera, enfermedades cardíacas, cáncer."
perro de San Bernardo,Suiza,"rojo, blanco",26-30,Marrón,8-10,"Leal, inteligente, gentil, protectora.","Displasia de cadera, cáncer, enfermedades cardíacas."
Viejo perro pastor inglés,Inglaterra,"Azul, Gris",22-26,Marrón,10-12,"Gentil, inteligente, bondadoso, protector.","Displasia de cadera, problemas oculares, alergias cutáneas."
Perro lobo irlandés,Irlanda,"Gris, Rojo, Negro",30-35,Marrón,6-8,"Gentil, leal, inteligente, bondadoso.","Displasia de cadera, enfermedades cardíacas, cáncer."
Galgo,Inglaterra,"Negro, blanco, atigrado",26-30,Marrón,10-12,"Inteligente, atlético, sensible, bondadoso.","Displasia de cadera, problemas oculares, afecciones cardíacas."
Lebrel escocés,Escocia,"Azul, Gris",28-32,Marrón,8-10,"Gentil, inteligente, bondadoso, independiente.","Displasia de cadera, enfermedades cardíacas, cáncer."
